PROTOCOL,MF_FLAG,PACKET_NO,IP_FRAG_OFF,SRC_PORT,DST_IP,TTL,PACKET_SIZE,KNOWN_HOST_DEVICE,TIMESTAMP,DST_PORT,DF_FLAG,SRC_IP
N/A,0,226,0,N/A,199.93.63.126,128,20,Linux,1258920202.209003000,N/A,1,172.16.16.128
N/A,0,227,0,N/A,199.93.63.126,128,20,Linux,1258920202.209670000,N/A,1,172.16.16.128
N/A,0,228,0,N/A,157.166.226.25,128,20,Linux,1258920202.214255000,N/A,1,172.16.16.128
N/A,0,229,0,N/A,172.16.16.128,56,20,Linux,1258920202.215443000,N/A,0,204.160.104.126
N/A,0,230,0,N/A,204.160.104.126,128,20,Linux,1258920202.215831000,N/A,1,172.16.16.128
N/A,0,231,0,N/A,172.16.16.128,46,20,Linux,1258920202.225402000,N/A,0,157.166.255.38
N/A,0,232,0,N/A,172.16.16.128,46,20,Linux,1258920202.229675000,N/A,0,157.166.255.38
N/A,0,233,0,N/A,172.16.16.128,56,20,Linux,1258920202.229681000,N/A,0,204.160.104.126
N/A,0,234,0,N/A,157.166.255.38,128,20,Linux,1258920202.229802000,N/A,1,172.16.16.128
N/A,0,235,0,N/A,204.160.104.126,128,20,Linux,1258920202.234008000,N/A,1,172.16.16.128
N/A,0,236,0,N/A,172.16.16.128,56,20,Linux,1258920202.235780000,N/A,0,204.160.104.126
N/A,0,237,0,N/A,204.160.104.126,128,20,Linux,1258920202.236210000,N/A,1,172.16.16.128
N/A,0,238,0,N/A,172.16.16.128,47,20,Linux,1258920202.247789000,N/A,0,157.166.255.38
N/A,0,239,0,N/A,172.16.16.128,47,20,Linux,1258920202.247795000,N/A,0,157.166.255.38
N/A,0,240,0,N/A,172.16.16.128,47,20,Linux,1258920202.247797000,N/A,0,157.166.255.38
N/A,0,241,0,N/A,172.16.16.128,56,20,Linux,1258920202.247799000,N/A,0,204.160.104.126
N/A,0,242,0,N/A,172.16.16.128,56,20,Linux,1258920202.247801000,N/A,0,204.160.104.126
N/A,0,243,0,N/A,172.16.16.128,56,20,Linux,1258920202.247803000,N/A,0,204.160.104.126
N/A,0,244,0,N/A,157.166.255.38,128,20,Linux,1258920202.247977000,N/A,1,172.16.16.128
N/A,0,245,0,N/A,157.166.255.38,128,20,Linux,1258920202.248060000,N/A,1,172.16.16.128
N/A,0,246,0,N/A,157.166.255.38,128,20,Linux,1258920202.248095000,N/A,1,172.16.16.128
N/A,0,247,0,N/A,157.166.255.38,128,20,Linux,1258920202.248753000,N/A,1,172.16.16.128
N/A,0,248,0,N/A,157.166.255.38,128,20,Linux,1258920202.248851000,N/A,1,172.16.16.128
N/A,0,249,0,N/A,157.166.255.38,128,20,Linux,1258920202.248945000,N/A,1,172.16.16.128
N/A,0,250,0,N/A,204.160.104.126,128,20,Linux,1258920202.250146000,N/A,1,172.16.16.128
N/A,0,251,0,N/A,204.160.104.126,128,20,Linux,1258920202.250237000,N/A,1,172.16.16.128
N/A,0,252,0,N/A,204.160.104.126,128,20,Linux,1258920202.250310000,N/A,1,172.16.16.128
N/A,0,253,0,N/A,74.125.95.149,128,20,Linux,1258920202.274848000,N/A,1,172.16.16.128
N/A,0,254,0,N/A,157.166.255.38,128,20,Linux,1258920202.274994000,N/A,1,172.16.16.128
N/A,0,255,0,N/A,157.166.255.38,128,20,Linux,1258920202.292682000,N/A,1,172.16.16.128
N/A,0,256,0,N/A,172.16.16.128,56,20,Linux,1258920202.292888000,N/A,0,199.93.63.126
